,text,0,1,2,3,4,5,6,7,8,9,10,11,12
26,"Johnson, W. E.; Eizirik, E.; Pecon-Slattery, J.; Murphy, W. J.; Antunes, A.; Teeling, E.; O'Brien, S. J. (2006). ""The late Miocene radiation of modern Felidae: A genetic assessment"". Science. 311 (5757): 73–77. Bibcode:2006Sci...311...73J. doi:10.1126/science.1122277. PMID 16400146. S2CID 41672825. Archived from the original on 4 October 2020. Retrieved 1 October 2018.",https://zenodo.org/record/1230866,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2006Sci...311...73J,/wiki/Doi_(identifier),https://doi.org/10.1126%2Fscience.1122277,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/16400146,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:41672825,https://web.archive.org/web/20201004075725/https://zenodo.org/record/1230866,,,
27,"Li, G.; Davis, B. W.; Eizirik, E. & Murphy, W. J. (2016). ""Phylogenomic evidence for ancient hybridization in the genomes of living cats (Felidae)"". Genome Research. 26 (1): 1–11. doi:10.1101/gr.186668.114. PMC 4691742. PMID 26518481.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4691742,/wiki/Doi_(identifier),https://doi.org/10.1101%2Fgr.186668.114,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4691742,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/26518481,,,,,,
28,"Mattern, M.Y.; McLennan, D.A. (2000). ""Phylogeny and speciation of Felids"". Cladistics. 16 (2): 232–253. doi:10.1111/j.1096-0031.2000.tb00354.x. PMID 34902955. S2CID 85043293.",https://doi.org/10.1111%2Fj.1096-0031.2000.tb00354.x,/wiki/Doi_(identifier),https://doi.org/10.1111%2Fj.1096-0031.2000.tb00354.x,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/34902955,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:85043293,,,,,,
29,"Nie, W.; Wang, J.; O'Brien, P. C. (2002). ""The genome phylogeny of domestic cat, red panda and five Mustelid species revealed by comparative chromosome painting and G-banding"". Chromosome Research. 10 (3): 209–222. doi:10.1023/A:1015292005631. PMID 12067210. S2CID 9660694.",/wiki/Doi_(identifier),https://doi.org/10.1023%2FA%3A1015292005631,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/12067210,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:9660694,,,,,,,
30,"Pontius, J. U.; Mullikin, J. C.; Smith, D. R.; Agencourt Sequencing Team; et al. (NISC Comparative Sequencing Program) (2007). ""Initial sequence and comparative analysis of the cat genome"". Genome Research. 17 (11): 1675–1689. doi:10.1101/gr.6380007. PMC 2045150. PMID 17975172.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2045150,/wiki/Doi_(identifier),https://doi.org/10.1101%2Fgr.6380007,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2045150,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/17975172,,,,,,
31,"Driscoll, C. A.; Menotti-Raymond, M.; Roca ', A. L.; Hupe, K.; Johnson, W. E.; Geffen, E.; Harley, E. H.; Delibes, M.; Pontier, D.; Kitchener, A. C.; Yamaguchi, N.; O'Brien, S. J.; Macdonald, D. W. (2007). ""The Near Eastern Origin of Cat Domestication"". Science. 317 (5837): 519–523. Bibcode:2007Sci...317..519D. doi:10.1126/science.1139518. OCLC 808298830. PMC 5612713. PMID 17600185.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5612713,/wiki/Science_(journal),/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2007Sci...317..519D,/wiki/Doi_(identifier),https://doi.org/10.1126%2Fscience.1139518,/wiki/OCLC_(identifier),https://www.worldcat.org/oclc/808298830,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5612713,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/17600185,
32,"Langton, N.; Langton, M. B. (1940). The Cat in ancient Egypt, illustrated from the collection of cat and other Egyptian figures formed. Cambridge University Press.",,,,,,,,,,,,,
33,"Malek, J. (1997). The Cat in Ancient Egypt (Revised ed.). Philadelphia: University of Pennsylvania Press.",/wiki/University_of_Pennsylvania_Press,,,,,,,,,,,,
34,"Vigne, J. D.; Guilaine, J.; Debue, K.; Haye, L.; Gérard, P. (2004). ""Early taming of the cat in Cyprus"". Science. 304 (5668): 259. doi:10.1126/science.1095335. PMID 15073370. S2CID 28294367.",/wiki/Science_(journal),/wiki/Doi_(identifier),https://doi.org/10.1126%2Fscience.1095335,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/15073370,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:28294367,,,,,,
35,"Driscoll, C. A.; Clutton-Brock, J.; Kitchener, A. C.; O'Brien, S. J. (2009). ""The taming of the cat"". Scientific American. 300 (6): 68–75. Bibcode:2009SciAm.300f..68D. doi:10.1038/scientificamerican0609-68 (inactive 19 June 2024). JSTOR 26001382. PMC 5790555. PMID 19485091.{{cite journal}}:  CS1 maint: DOI inactive as of June 2024 (link)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5790555,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2009SciAm.300f..68D,/wiki/Doi_(identifier),https://doi.org/10.1038%2Fscientificamerican0609-68,/wiki/JSTOR_(identifier),https://www.jstor.org/stable/26001382,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5790555,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/19485091,/wiki/Template:Cite_journal,/wiki/Category:CS1_maint:_DOI_inactive_as_of_June_2024
